City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tasiilaq,GL,2022-06-27 12:42:30,65.6145,-37.6368,42.96,67,90,1.21
68,Kahului,US,2022-06-27 12:42:31,20.8947,-156.47,76.84,79,40,8.05
69,Juneau,US,2022-06-27 12:42:31,58.3019,-134.4197,60.1,88,20,0.0
70,Calbuco,CL,2022-06-27 12:42:31,-41.768,-73.1273,42.01,87,90,11.1
71,Mataura,NZ,2022-06-27 12:42:31,-46.1927,168.8643,39.09,94,88,0.63
72,Havre-Saint-Pierre,CA,2022-06-27 12:42:32,50.2334,-63.5986,61.16,88,100,17.27
73,Puerto Escondido,MX,2022-06-27 12:37:41,15.85,-97.0667,76.03,69,75,6.91
74,Esperance,AU,2022-06-27 12:41:18,-33.8667,121.9,57.04,81,100,19.51
75,Chino Valley,US,2022-06-27 12:42:32,34.7575,-112.4538,62.67,71,1,1.77
76,Goma,CD,2022-06-27 12:42:33,-1.6792,29.2228,72.68,57,82,4.88
77,Nantucket,US,2022-06-27 12:38:21,41.2835,-70.0995,73.51,88,0,12.66
78,Nagtipunan,PH,2022-06-27 12:42:33,16.2167,121.6,74.19,98,98,0.67
79,Tabou,CI,2022-06-27 12:42:34,4.423,-7.3528,80.69,75,100,8.63
80,Kyaikto,MM,2022-06-27 12:42:34,17.3,97.0167,79.68,87,100,3.71
81,Cachoeiro De Itapemirim,BR,2022-06-27 12:42:08,-20.8489,-41.1128,66.58,70,98,2.33
82,Arroyo,ES,2022-06-27 12:42:34,41.6096,-4.7969,69.84,44,40,9.22
83,Myaundzha,RU,2022-06-27 12:42:35,63.0494,147.1858,65.95,57,74,9.46
84,Arrecife,ES,2022-06-27 12:41:10,28.963,-13.5477,78.78,47,75,23.02
85,Chuy,UY,2022-06-27 12:42:35,-33.6971,-53.4616,51.3,88,100,5.28
86,Kenora,CA,2022-06-27 12:42:36,49.8167,-94.4337,58.17,77,75,8.05
87,Morondava,MG,2022-06-27 12:42:37,-20.2833,44.2833,78.17,50,0,12.21
88,Airai,TL,2022-06-27 12:42:38,-8.9266,125.4092,57.7,89,100,3.49
89,Constitucion,CL,2022-06-27 12:42:39,-35.3333,-72.4167,51.22,81,4,3.33
90,Kem,RU,2022-06-27 12:42:39,64.9555,34.5793,51.12,60,100,8.57
91,Dzaoudzi,YT,2022-06-27 12:42:39,-12.7887,45.2699,76.89,78,100,11.5
92,Chapais,CA,2022-06-27 12:42:40,49.7834,-74.8492,58.78,56,5,11.03
93,Walvis Bay,NA,2022-06-27 12:43:41,-22.9575,14.5053,92.35,16,0,31.07
94,Souillac,MU,2022-06-27 12:43:42,-20.5167,57.5167,73.78,64,40,9.22
95,Srednekolymsk,RU,2022-06-27 12:43:42,67.45,153.6833,49.84,34,100,9.06
96,Arraial Do Cabo,BR,2022-06-27 12:43:42,-22.9661,-42.0278,67.86,68,75,4.61
97,Mahibadhoo,MV,2022-06-27 12:43:43,3.7833,72.9667,83.71,76,94,14.16
98,Wakkanai,JP,2022-06-27 12:43:43,45.4094,141.6739,55.22,88,98,7.54
99,Bredasdorp,ZA,2022-06-27 12:43:43,-34.5322,20.0403,68.56,40,0,4.16
100,Itaituba,BR,2022-06-27 12:43:44,-4.2761,-55.9836,78.96,89,20,0.0
101,Williams Lake,CA,2022-06-27 12:43:44,52.1415,-122.1445,60.37,88,20,2.3
102,Khatanga,RU,2022-06-27 12:43:44,71.9667,102.5,50.99,44,7,13.2
103,Beloha,MG,2022-06-27 12:43:45,-25.1667,45.05,66.63,57,37,14.97
104,Mahmudia,RO,2022-06-27 12:43:45,45.0833,29.0833,82.6,60,100,9.33
105,Ouadda,CF,2022-06-27 12:43:45,8.0777,22.4007,82.22,63,71,5.48
106,Nanticoke,US,2022-06-27 12:38:50,41.2054,-76.0049,73.74,96,100,1.01
107,Acapulco,MX,2022-06-27 12:43:46,16.8634,-99.8901,78.62,89,100,2.3
108,Hithadhoo,MV,2022-06-27 12:43:46,-0.6,73.0833,83.34,71,91,5.7
109,Peleduy,RU,2022-06-27 12:43:47,59.6289,112.7406,68.43,71,100,3.38
110,Gamba,GA,2022-06-27 12:43:47,-2.65,10.0,77.16,73,44,10.31
111,Coquimbo,CL,2022-06-27 12:43:47,-29.9533,-71.3436,51.53,71,75,6.91
112,Arlit,NE,2022-06-27 12:43:47,18.7369,7.3853,105.4,15,18,4.72
113,Adrar,MR,2022-06-27 12:43:48,20.5022,-10.0711,99.5,12,0,12.8
114,Iqaluit,CA,2022-06-27 12:43:49,63.7506,-68.5145,49.73,62,20,11.5
115,Queimadas,BR,2022-06-27 12:43:50,-10.9783,-39.6264,73.65,72,78,13.62
116,Chippewa Falls,US,2022-06-27 12:43:42,44.9369,-91.3929,60.98,74,0,3.44
117,Kodiak,US,2022-06-27 12:43:50,57.79,-152.4072,47.71,87,100,5.75
118,Butaritari,KI,2022-06-27 12:43:51,3.0707,172.7902,81.99,76,92,13.82
119,Yellowknife,CA,2022-06-27 12:43:51,62.456,-114.3525,50.56,87,20,5.75
120,Starokostyantyniv,UA,2022-06-27 12:43:51,49.7576,27.2034,80.82,49,48,3.4
121,Thunder Bay,CA,2022-06-27 12:41:49,48.4001,-89.3168,51.78,82,20,5.75
122,Belmonte,BR,2022-06-27 12:43:52,-15.8631,-38.8828,75.07,64,100,17.49
123,Georgetown,MY,2022-06-27 12:39:40,5.4112,100.3354,85.95,75,20,8.05
124,Fairbanks,US,2022-06-27 12:43:53,64.8378,-147.7164,61.83,75,40,5.75
125,Roald,NO,2022-06-27 12:43:53,62.5833,6.1333,62.91,88,75,10.36
126,Barraute,CA,2022-06-27 12:43:53,48.4335,-77.6328,55.67,68,76,11.14
127,Saint-Philippe,RE,2022-06-27 12:43:53,-21.3585,55.7679,69.39,80,71,15.64
128,Berbera,SO,2022-06-27 12:43:54,10.4396,45.0143,101.25,33,14,11.01
129,Paita,PE,2022-06-27 12:43:54,-5.0892,-81.1144,63.88,83,27,13.29
130,Tiksi,RU,2022-06-27 12:43:54,71.6872,128.8694,33.64,79,100,8.32
131,Lata,PT,2022-06-27 12:43:55,40.1629,-8.3327,77.49,38,0,11.48
132,Castro,BR,2022-06-27 12:43:55,-24.7911,-50.0119,55.99,80,84,8.1
133,Half Moon Bay,US,2022-06-27 12:43:55,37.4636,-122.4286,60.91,92,100,8.05
134,Dubai,AE,2022-06-27 12:42:28,25.2582,55.3047,106.05,37,0,11.5
135,Deputatskiy,RU,2022-06-27 12:43:56,69.3,139.9,34.2,97,100,6.22
136,Hofn,IS,2022-06-27 12:43:56,64.2539,-15.2082,51.82,76,100,16.11
137,Kimbe,PG,2022-06-27 12:43:57,-5.5502,150.1429,76.39,92,100,3.06
138,Tuatapere,NZ,2022-06-27 12:43:57,-46.1333,167.6833,42.71,77,100,2.48
139,Chapada Dos Guimaraes,BR,2022-06-27 12:43:57,-15.4606,-55.7497,56.86,37,4,2.1
140,Tanggu,CN,2022-06-27 12:44:58,39.0211,117.6469,82.36,74,26,3.58
141,Kaitangata,NZ,2022-06-27 12:44:58,-46.2817,169.8464,42.22,85,100,2.55
142,Suchedniow,PL,2022-06-27 12:44:58,51.0478,20.8292,87.8,36,0,10.16
143,Yulara,AU,2022-06-27 12:44:59,-25.2406,130.9889,54.7,48,90,13.62
144,Codrington,AU,2022-06-27 12:44:59,-38.2667,141.9667,43.65,87,100,8.48
145,Comodoro Rivadavia,AR,2022-06-27 12:44:59,-45.8667,-67.5,49.86,43,100,31.07
146,Road Town,VG,2022-06-27 12:45:00,18.4167,-64.6167,84.24,70,40,10.36
147,Marzuq,YE,2022-06-27 12:45:00,14.4,46.4667,97.65,22,100,10.11
148,Port Alfred,ZA,2022-06-27 12:45:00,-33.5906,26.891,66.18,66,0,1.99
149,Ribeira Brava,PT,2022-06-27 12:45:01,32.65,-17.0667,73.71,64,22,3.76
150,Dwarka,IN,2022-06-27 12:45:02,22.2394,68.9678,85.08,77,7,18.32
151,Dicabisagan,PH,2022-06-27 12:45:02,17.0818,122.4157,78.46,89,100,4.12
152,Olafsvik,IS,2022-06-27 12:45:03,64.8945,-23.7142,44.6,74,100,8.16
153,Masingbi,SL,2022-06-27 12:45:03,8.7833,-11.95,87.33,62,75,2.39
154,Kirakira,SB,2022-06-27 12:45:04,-10.4544,161.9205,78.67,84,100,11.41
155,Orasje,BA,2022-06-27 12:45:04,45.0356,18.6933,94.28,30,1,4.94
156,Boguchany,RU,2022-06-27 12:45:05,58.3814,97.4531,72.27,70,98,3.83
157,Belgrade,RS,2022-06-27 12:43:01,44.804,20.4651,90.39,36,0,5.75
158,Vila Velha,BR,2022-06-27 12:42:13,-20.3297,-40.2925,69.75,76,75,11.5
