City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Alta Floresta,BR,-9.8756,-56.0861,91.22,40,0,8.05,clear sky
79,Georgetown,MY,5.4112,100.3354,84.88,78,20,5.99,few clouds
80,Castelo Do Piaui,BR,-5.3222,-41.5525,91.72,32,2,9.95,clear sky
81,Zhigansk,RU,66.7697,123.3711,55.76,64,75,9.51,broken clouds
82,Butaritari,KI,3.0707,172.7902,82.27,75,100,22.86,light rain
83,Luderitz,NA,-26.6481,15.1594,61.57,57,0,14.25,clear sky
84,Antofagasta,CL,-23.65,-70.4,67.21,55,76,8.48,broken clouds
85,Bereda,ES,43.2686,-7.5406,74.41,84,0,11.32,clear sky
86,Neuquen,AR,-38.9516,-68.0591,49.89,53,0,12.66,clear sky
87,Vanderhoof,CA,54.0166,-124.0198,53.33,95,100,2.53,overcast clouds
88,Hithadhoo,MV,-0.6,73.0833,82.85,76,100,11.27,overcast clouds
89,Nanortalik,GL,60.1432,-45.2371,44.92,86,96,6.6,overcast clouds
90,Lumut,MY,4.2323,100.6298,78.82,89,40,0.0,scattered clouds
91,Kabanjahe,ID,3.1001,98.4908,64.98,95,97,2.28,overcast clouds
92,Saint-Joseph,RE,-21.3667,55.6167,68.38,73,30,13.06,scattered clouds
93,Sibolga,ID,1.7427,98.7792,78.66,85,97,3.6,overcast clouds
94,Katangli,RU,51.7102,143.2326,59.61,91,0,8.9,clear sky
95,Westport,US,41.1415,-73.3579,85.86,55,87,5.99,overcast clouds
96,Ust-Shonosha,RU,61.1531,41.343,77.0,42,58,8.1,broken clouds
97,Bethel,US,41.3712,-73.414,84.02,67,91,4.0,overcast clouds
98,Ossora,RU,59.2353,163.0719,52.83,87,83,3.87,broken clouds
99,Puerto Ayora,EC,-0.7393,-90.3518,72.55,85,35,8.01,scattered clouds
100,Port-Gentil,GA,-0.7193,8.7815,80.56,65,20,13.8,few clouds
101,Kodiak,US,57.79,-152.4072,53.11,87,100,0.0,mist
102,Kahului,US,20.8947,-156.47,75.85,86,100,5.01,overcast clouds
103,East London,ZA,-33.0153,27.9116,65.34,72,0,6.91,clear sky
104,Yulara,AU,-25.2406,130.9889,46.38,26,0,7.72,clear sky
105,Eureka,US,40.8021,-124.1637,62.67,79,98,0.92,overcast clouds
106,Jamestown,US,42.097,-79.2353,73.53,82,100,5.75,overcast clouds
107,Klaksvik,FO,62.2266,-6.589,50.92,92,50,20.47,scattered clouds
108,Mandali,IQ,33.7499,45.5541,108.66,9,0,12.08,clear sky
109,Bengkulu,ID,-3.8004,102.2655,79.65,86,100,6.22,overcast clouds
110,Victoria,HK,22.2855,114.1577,84.38,85,100,5.99,light rain
111,Carahue,CL,-38.7,-73.1667,45.97,84,96,10.27,overcast clouds
112,Bredasdorp,ZA,-34.5322,20.0403,57.58,66,1,5.7,clear sky
113,Pevek,RU,69.7008,170.3133,32.14,97,100,7.9,overcast clouds
114,Taoudenni,ML,22.6783,-3.9836,116.4,4,1,11.21,clear sky
115,Ribeira Grande,PT,38.5167,-28.7,72.0,64,75,12.66,broken clouds
116,Saldanha,ZA,-33.0117,17.9442,57.27,66,0,6.85,clear sky
117,Rawson,AR,-43.3002,-65.1023,50.45,66,99,20.4,overcast clouds
118,Kaitangata,NZ,-46.2817,169.8464,43.3,82,86,6.35,overcast clouds
119,Bull Savanna,JM,17.8868,-77.5902,83.95,59,26,4.83,scattered clouds
120,Yerbogachen,RU,61.2767,108.0108,55.49,72,14,4.72,few clouds
121,Ust-Ishim,RU,57.6935,71.1665,62.56,94,99,5.37,overcast clouds
122,Albany,US,42.6001,-73.9662,77.29,74,96,12.03,overcast clouds
123,Allapalli,IN,19.4167,80.0667,78.4,92,100,3.74,overcast clouds
124,Merrill,US,45.1805,-89.6835,68.77,79,100,5.75,overcast clouds
125,Moroni,KM,-11.7022,43.2551,80.6,57,20,11.5,few clouds
126,Pangai,TO,-19.8,-174.35,75.54,73,38,21.21,light rain
127,Iqaluit,CA,63.7506,-68.5145,41.7,100,100,8.05,mist
128,Alofi,NU,-19.0595,-169.9187,74.68,73,96,18.95,overcast clouds
129,Mount Hagen,PG,-5.8581,144.2274,60.08,98,100,1.41,light rain
130,Pisco,PE,-13.7,-76.2167,61.02,77,96,3.44,haze
131,Dikson,RU,73.5069,80.5464,33.49,91,54,9.8,broken clouds
132,Vardo,NO,70.3705,31.1107,51.78,87,100,19.57,overcast clouds
133,Airai,TL,-8.9266,125.4092,52.48,90,44,1.77,scattered clouds
134,Port Augusta,AU,-32.5,137.7667,45.54,87,0,5.73,clear sky
135,Lucapa,AO,-8.4192,20.7447,87.64,16,26,2.82,scattered clouds
136,Talnakh,RU,69.4865,88.3972,53.8,87,100,2.3,overcast clouds
137,Agirish,RU,61.9247,63.0231,67.86,66,69,3.44,broken clouds
